created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga (Rp),URL,deskripsi 
14-10-2021,160,81,3,2,,1,"Sukarame, Bandar Lampung",SHM,1300 Watt,Tenggara,636000000,https://www.rumah123.com/properti/bandar-lampung/hos8994507/,"Lokasi Sangat Strategis JL. Ryacudu, Gang Nangka 4, sukarame, Bandar Lampung ( hanya 40 meter dari jalan raya Ryacudu, Korpri), Akses jalan aspal depan rumah lebar 8 Meter"
13-10-2021,425,450,4,3,1,2,"Teluk Betung, Bandar Lampung",SHM,3500 Watt,,1500000000,https://www.rumah123.com/properti/bandar-lampung/hos8990042/,"Dijual cepat rumah mewah siap huni nyaman View kota, View laut"
01-07-2021,400,350,6,4,1,1,"Tanjung Karang Pusat, Bandar Lampung",SHM,3300 Watt,,1800000000,https://www.rumah123.com/properti/bandar-lampung/hos8509818/,Dijual rumah view laut dan kota.
15-04-2021,140,120,4,3,,2,"Way Halim, Bandar Lampung",SHM,1300 Watt,,1050000000,https://www.rumah123.com/properti/bandar-lampung/hos8177867/,"Rumah Murah di Wayhalikn Bandar Lampung, Mau ke Transmart tinggal gas dikit"
08-04-2021,2662,378,7,5,2,2,"Kedaton, Bandar Lampung",SHM,1300 Watt,,2550000000,https://www.rumah123.com/properti/bandar-lampung/hos8142174/,"Pekarangan luas kiri kanan dpn blkg, Parkir : luas, Pagar keliling"
23-11-2021,105,105,3,3,2,2,"Alang Alang Lebar, Palembang",SHM,2200 Watt,,875000000,https://www.rumah123.com/properti/palembang/hos6441128/,"Dengan konsep rumah tumbuh, yaitu rumah yang masih bisa dikembangin lagi ketika anggota keluarga anda sudah semakin banyak,"
25-11-2021,206,300,5,3,,,"Kalidoni, Palembang",SHM,4400 Watt,,3500000000,https://www.rumah123.com/properti/palembang/hos9224095/,"BELAKANG ADA 2 LANTAI, KEAMANAN 24 JAM, BEBAS BANJIR, 10 MENIT KE MALL PTC, DEKAT SEKOLAH KUSUMA BANGSA, SEKOLAH IPEKA, MAITREYAWIRA."
11-11-2021,512,130,5,3,,2,"Seberang Ulu II, Palembang",SHM,1300 Watt,,5000000000,https://www.rumah123.com/properti/palembang/hos9141009/,"Rumah berada di jalan KH Balqi banten Plaju, kawasan aman dan nyaman, akses jalan 2 mobil. Cocok buat tempat tinggal,Kos kosan, Kantor,Bangun ruko, Toko dan tentu nya sesuai kebutuhan Anda."
24-11-2021,2500,120,3,2,,,"Banyuasin III, Banyuasin",SHM,900 Watt,,400000000,https://www.rumah123.com/properti/banyuasin/hos9217727/,"Dijual rumah seluas 120m2 dan diatas lahan 2.500m2 dengan harga Rp.400jt, dengan 3 kamar tidur, 2 kamar mandi, 2 ruang tamu, 1 ruang keluarga, 1 dapur, listrik 900, air sumur. di tanjung lago, tanjung api api banyuasin"
03-11-2021,84,36,2,1,,1,"Sako, Palembang",SHM,1300 Watt,Timur,150000000,https://www.rumah123.com/properti/palembang/hos9098201/,Pelita Borang Residen rumah subsidi spek batu bata lokasi hanya 800 meter dari Indomaret jembatan 1
23-06-2021,68,128,3,2,,,"Ilir Timur I, Palembang",SHM,2200 Watt,Utara,750000000,https://www.rumah123.com/properti/palembang/hos8474470/,"Dijual 2 unit Rumah, bangunan 2 lantai berada Di pusat kota Palembabg KM 3.5, akses dkt kemana mana,kawasan pdt penduduk. Cocok buat tmpt tinggal, kostan atau pun Investasi"
7-12-2021,372,150,5,3,,,"Ilir Barat II, Palembang",SHM,900 Watt,,3200000000,https://www.rumah123.com/properti/palembang/hos9296377/,"Jalan depan rumah rapih, aspal, bisa dilalui 2 mobil. Jarak hanya 100 meter dari kantor Camat dan Polsekta Ilir Barat II. Hanya 10 menit ke Kambang Iwak, Jembatan Musi 6, dan area bisnis lainnya."
01-07-2021,150,190,5,1,,,"Sukarame, Palembang",SHM,1300 Watt,Timur,410000000,https://www.rumah123.com/properti/palembang/hos8512364/,"Rumah dilingkungan padat penduduk namun tetap Memberikan pd penghuninya, ketenangan dan Kenyamanan posisi rumah menghadap timur,serta ruang terbuka yg menjamin"
4-12-2021,135,60,3,2,,,"Tanjung Senang, Bandar Lampung",SHM,1300 Watt,,435000000,https://www.rumah.com/listing-properti/dijual-way-kandis-cluster-oleh-anton-19385510,"Rumah besar dengan ruangan longgar yang tidak jauh dari pasar, sumber air dari sumur dan mesin"
3-12-2021,110,70,3,2,1,,"Kedaton, Bandar Lampung",SHM,1300 Watt,,535000000,https://www.rumah.com/listing-properti/dijual-griya-pu-pagar-alam-oleh-anton-19381119,"Sumber air dari sumur bor, lantai granit, plafon gypsum trap, lokasi strategis dan bebas banjir"
6-12-2021,130,70,3,2,1,,"Rajabasa, Bandar Lampung",SHM,1300 Watt,,585000000,https://www.rumah.com/listing-properti/dijual-jual-cepat-murah-rumah-mewah-di-rajabasa-bandar-lampung-oleh-anton-19186608,"Berpondasi dari batu belah, dekat dengan pusat pembelanjaan, lokasi elit dan nyaman, bebas banjir"
9-10-2021,72,45,2,1,1,,"Tanjung Karang Barat, Bandar Lampung",SHM,1300 Watt,,258000000,https://www.rumah.com/listing-properti/dijual-lampung-oleh-al-hadian-17987036,"Bernuansa klasik modern dengan lingkungan yang nyaman dan tenram, lokasi strategis, keamanan terjamin, memiliki fasilitas yang lengkap di daerahnya"
9-11-2021,495,400,5,4,1,,"Teluk Betung Utara, Bandar Lampung",SHM,2200 Watt,,3200000000,https://www.rumah.com/listing-properti/dijual-bandar-lampung-oleh-ginanjar-agung-18027533,"Memiliki taman yang asri dengan joglo kecil di halaman, lokasi strategis, fasilitas di komplek lengkap"
2-12-2021,580,630,6,6,2,2,"Teluk Betung Barat, Bandar Lampung",SHM,3500 Watt,,4500000000,https://www.rumah.com/listing-properti/dijual-citra-garden-lampung-oleh-anton-19164681,"Posisi rumah dihook, lingkungan elit,nyaman,dan asri, lokasi strategis, sarana dan prasarana di lingkungan sekitar lengkap"
7-11-2021,150,70,3,2,2,1,"Kedaton, Bandar Lampung",SHM,2200 Watt,,630000000,https://www.rumah.com/listing-properti/dijual-kedaton-bandar-lampung-oleh-nugroho-edi-setiawan-19174573,"Sumur bor+mesin+tower, bebas banjir, atap menggunakan beton, closet duduk, plafon gypsum"
5-10-2021,150,72,3,2,2,2,"Tupai, Bandar Lampung",SHM,2200 Watt,,630000000,https://www.rumah.com/listing-properti/dijual-rumah-bandar-lampung-oleh-anton-19144638,"Lokasi strategis, lingkungan aman dan tentram, bangunan kokoh, bebas banjir"
6-10-2021,91,45,2,1,,1,"Sukabumi, Bandar Lampung",SHM,1300 Watt,,335000000,https://www.rumah.com/listing-properti/dijual-sukabumi-bandar-lampung-oleh-nugroho-edi-setiawan-18744067,"Keamanan terjamin, lokasi strategos, lingkungan terkesan elit dan tentram, sumber air PDAM, fasilitas lengkap"
05-09-2021,222,70,3,2,,2,"Sukabumi, Bandar Lampung",SHM,2200 Watt,,765000000,https://www.rumah.com/listing-properti/dijual-rumah-bandar-lampung-oleh-anton-priono-18657481,"Memiliki taman asri yang minimalis, lingkungan nyaman, lokasi strategis, bisa dijadikan tempat usaha"
26-09-2021,72,80,3,2,,,"Kalidoni, Palembang",SHM,1300 Watt,Timur,800000000,https://www.rumah123.com/properti/palembang/hos8901046/,"Skema KPR TANPA BANK, Tanpa BI Checking, Tanpa Ribet DP 30% , sisa di cicil selama 5 thn, flat."
26-09-2021,90,80,3,2,,,"Ilir Barat I, Palembang",SHM,2200 Watt,Timur,696000000,https://www.rumah123.com/properti/palembang/hos8900612/,"KHAFILA RESIDENCE
Town House murah dan strategis di bukit Palembang
Terletak di pinggir jalan Tanjung barangan Ilir barat 1, hanya 3 mnt dari jln utama Soekarno Hatta
Tersedia tipe 87 dan 95"
26-09-2021,95,36,2,1,,,"Ilir Barat I, Palembang",SHM,1300 Watt,Timur,275000000,https://www.rumah123.com/properti/palembang/hos8900569/,"Lingkungan perumahan sdh berpenghuni, dekat masjid, dekat pasar tradisional, dekat sekolah, mini market.Hanya 10 menit ke kampus UNSRI bukit
Hanya 15 menit ke bandara SMB 2"
26-09-2021,90,45,3,2,,,"Kalidoni, Palembang",SHM,1300 Watt,Timur,375000000,https://www.rumah123.com/properti/palembang/hos8900546/,"Cluster strategis yang dekat dgn PT PUSRI
Terletak di jln KH Azhari sei selayur Kalidoni Palembang, hanya 300 langkah dari graha pinang masak"
25-09-2021,75,80,3,3,1,1,"Ilir Barat I, Palembang",SHM,1300 Watt,Timur,750000000,https://www.rumah123.com/properti/palembang/hos8899762/,"Town House Ekslusif dan strategis di bukit palembang, villa Asalam 2
Jln politeknik bukit lama palembang, bersebalahan dgn perumahan dosesn poltek unsri.
Tersedia tipe 65 - 110
Dgn luas tanah beragam."
24-09-2021,120,110,3,3,2,2,"Ilir Barat I, Palembang",SHM,2200 Watt,Barat Daya,1500000000,https://www.rumah123.com/properti/palembang/hos8896739/,"Town House Eksklusif di bukit palembang.
Hanya 300 meter dari jln utama Demang lebar daun."
23-09-2021,136,120,3,3,,,"Ilir Barat I, Palembang",SHM,4400 Watt,,800000000,https://www.rumah123.com/properti/palembang/hos8888969/,"Dijual CEPAT, 1unit rmh cantik minimalis ( Demang lbr daun ) pusat kota Palembang
Siap huni ,buat klrg tercinta maupun Investasi
Anda jangka panjang.
"
16-09-2021,84,36,2,1,,1,"Sukarame, Palembang",SHM,1300 Watt,Timur,150000000,https://www.rumah123.com/properti/palembang/hos8853755/,Farih residen merupakan rumah subsidi dg spek batu bata dengan tinggi plapon 4 meter lokasi di belakang kantor lurah talang betutu
16-09-2021,98,40,2,1,,,"Alang Alang Lebar, Palembang",SHM,2200 Watt,Barat,408000000,https://www.rumah123.com/properti/palembang/hos8855026/,"Cukup booking unit 5 juta dapatkan cashback senilai 40 jt
free ajb, bphtb, bbn, ppn
free instalasi air ats + listrik token 2200w
free taman rumah
free biaya akad kredit maksimal 15 jt"
15-09-2021,499,300,5,3,,8,"Bukit Kecil, Palembang",SHM,5500 Watt,,3900000000,https://www.rumah123.com/properti/palembang/hos8849981/,"Rumah dilokasi strategis lingkungan nyaman, aman dan tenang. Kondisi rumah bagus dan bersih siap pakai, cocok untuk tempat tinggal, Kantor dan Mess. Akses jalan 2 mobil, dekat dengan PIM, Ramayana, Transmart, Palembang Icon, PS Mall, Sekolah Harapan Mulia, Sekolah SMPN 1, SD Xaverius, Sekolah Pelita Harapan, Dermaga BKB dll."
12-12-2021,72,36,2,1,,1,"Enggal, Bandar Lampung",SHM,,,230000000,,
07-06-2023,69,55,2,1,1,1,"Tanjung Senang, Bandar Lampung",SHM,1300,Timur,230000000,https://www.rumah123.com/properti/bandar-lampung/hos13767852/,RUMAH MURAH STRATEGIS WAY KANDIS. RUMAH MODERN SIAP HUNI.
07-06-2023,148,75,3,2,0,1,"Kedamaian, Bandar Lampung",SHM,1300,,649000000,https://www.rumah123.com/properti/bandar-lampung/hos9786461/,Kedamaian cluster. KPR bank dibantu (harga di luar biaya kpr).
07-06-2023,236,115,3,2,1,1,"Rajabasa, Bandar Lampung",SHM,1300,,895000000,https://www.rumah123.com/properti/bandar-lampung/hos9020676/,"Lokasi: Jl. Pramuka, Rajabasa, Bandar Lampung (Dekat Pusat Pendidikan Global Madani), samsat, univ malahayati dll."
07-06-2023,176,70,2,1,2,2,"Teluk Betung Barat, Bandar Lampung",SHM,1300,Timur,900000000,https://www.rumah123.com/properti/bandar-lampung/hos13244683/,Dijual Rumah Siap Huni. Harga Negotiable. CLUSTER CITRA GARDEN BANDAR LAMPUNG. Konsep Villa.
07-06-2023,100,102,3,2,1,1,"Kemiling, Bandar Lampung",SHM,1300,Timur,555000000,https://www.rumah123.com/properti/bandar-lampung/hos13726761/,"Cluster baru CORDY RESIDENCE unit TERBATAS di Kemiling, Bandar Lampung. Desain modern, kokoh, dan tepercaya. Lingkungan nyaman, bersih, serta aman. Lokasi dekat dengan jalan raya Sumber Agung Kemiling Bandar Lampung."
07-06-2023,72,36,2,1,1,1,"Kedaton, Bandar Lampung",SHM,900,Timur,150000000,https://www.rumah123.com/properti/bandar-lampung/hos13941396/,"Perumahan subsidi TRIA MAHAN CITY Tahap 2, pinggir jalan besar sabahbalau. Design rumah minimalis dengan 2 kamar tidur 1 kamar mandi dan sudah ada meja dapur."
07-06-2023,77,32,2,1,0,1,"Teluk Betung Barat, Bandar Lampung",HGB,1300,Selatan,541000000,https://www.rumah123.com/properti/bandar-lampung/hos13889629/,"Rumah Bandar Lampung, Negeri Olok Gading. Fasilitas Komersial. Akses Tol. CitraGarden Bandar Lampung Kehidupan Kelas Satu."
07-06-2023,95,58,2,1,0,1,"Labuhan Ratu, Bandar Lampung",SHM,1300,,318000000,https://www.rumah123.com/properti/bandar-lampung/hos13884963/,"Lokasi Strategis. 3 Akses Jalan yang Mudah. Dekat Pusat Pendidikan. Dekat Pusat Perbelanjaan (Pasar Tani, MCD, Indomaret, IndoGrosir, dll). Dekat Perkantoraan. Dekat Pelayanan Kesehatan. Dekat Tempat Wisata."
07-06-2023,120,70,1,1,1,1,"Kemiling, Bandar Lampung",SHM,1300,Timur,535000000,https://www.rumah123.com/properti/bandar-lampung/hos13882665/,PERUMAHAN KEMILING BANDAR LAMPUNG THE VISIONER ESTATE. Lokasi: Jl. Raya Dua Jalur BKP/ Springhill Bandar Lampung. Akses mudah jadi semua dapat ditempuh dalam hitungan menit saja.
07-06-2023,72,36,2,1,1,1,"Rajabasa, Bandar Lampung",SHM,1300,Timur,150000000,https://www.rumah123.com/properti/bandar-lampung/hos13882297/,"Rumah Bersubsidi Daerah Natar Lampung. PESONA NATAR RESIDENCE. Lokasi : Jl. Hj. Agustina Caropeboka, Natar Lampung Selatan."
07-06-2023,105,80,3,2,1,1,"Kemiling, Bandar Lampung",SHM,1300,Timur,435000000,https://www.rumah123.com/properti/bandar-lampung/hos13881728/,"Lokasi strategis di jl. Imam bonjol kemiling Bandar Lampung, Security 24 jam, bebas banjir, ± 5 menit dari SMA NEGERI 7 Kemiling , ± 3 menit dari SPBU Kemiling, ±10 menit dari exit tol Natar, ±15 menit Bandara Raden intan dekat McDonald’s, KFC, dan Superindo, serta dekat Rumah Sakit Bintang Amin, Universitas Malahayati , fasilitas pendidikan dan perbankan, pasar, dan mall."
07-06-2023,82,45,2,1,1,0,"Sukarame, Bandar Lampung",SHM,1300,,340000000,https://www.rumah123.com/properti/bandar-lampung/hos13880641/,Rumah Dijual Cepat Di legundi Sukarame. Listrik 1300 VA. Sumur Bor.
07-06-2023,72,36,2,1,1,1,"Kedaton, Bandar Lampung",SHM,1300,Timur,150000000,https://www.rumah123.com/properti/bandar-lampung/hos13813760/,Rumah Subsidi di pesawaran lampung 2022. Perumahan Srimulyo Garden Negeri Sakti Pesawaran dekat Kemiling Bandar Lampung.
07-06-2023,75,36,2,1,1,1,"Bumi Waras, Bandar Lampung",SHM,1300,Timur,150000000,https://www.rumah123.com/properti/bandar-lampung/hos13812654/,"Rumah subsidi dekat bandar Lampung tanpa DP, tanah Sangat luas, lokasi Tepat pinggir jalan utama, dan lingkungan sdh Sangat ramai. Srimulyo Permai Negeri Sakti. Rumah Strategis, aman, nyaman dengan harga terjangkau dekat kota Bandar Lampung."
07-06-2023,105,105,2,1,0,1,"Sukarame, Bandar Lampung",SHM,1300,Utara,520000000,https://www.rumah123.com/properti/bandar-lampung/hos13811043/,RUMAH MINIMALIS DEKAT UIN RADEN INTAN BANDAR LAMPUNG.
07-06-2023,60,36,2,1,1,1,"Langkapura, Bandar Lampung",SHM,900,Utara,150000000,https://www.rumah123.com/properti/bandar-lampung/hos13810481/,Baru Rumah subsidi kota Bandar Lampung. Perumahan Puri Saujana 8 Sukadanaham Tanjung Karang Barat Bandar Lampung. Hunian asri aman dan alami.
07-06-2023,90,90,5,3,0,1,"Kedaton, Bandar Lampung",SHM,2200,Utara,625000000,https://www.rumah123.com/properti/bandar-lampung/hos13809519/,Rumah Desain Modern ditengah Kota Bandar lampung. Rumah Siap Huni. Bisa KPR Bank Syariah. Bisa Cicil ke developer 12 Bulan.
07-06-2023,72,55,3,1,0,1,"Tanjung Karang Barat, Bandar Lampung",SHM,1300,,350000000,https://www.rumah123.com/properti/bandar-lampung/hos13808707/,Rumah Desain Modern ditengah Kota Bandar lampung. Rumah Siap Huni. Bisa KPR Bank Syariah. Bisa Cicil ke developer 12 Bulan.
07-06-2023,84,55,2,1,0,1,"Rajabasa, Bandar Lampung",SHM,1300,,275000000,https://www.rumah123.com/properti/bandar-lampung/hos13808691/,PERUMAHAN MURAH 200JTAAN DI RAJABASA BANDAR LAMPUNG.
07-06-2023,66,40,2,1,0,1,"Tanjung Karang Pusat, Bandar Lampung",SHM,Lainnya Watt,,375000000,https://www.rumah123.com/properti/bandar-lampung/hos13808178/,Rumah kawasan PERUM VILLA MAS.
07-06-2023,96,60,2,1,0,1,"Tanjung Karang Timur, Bandar Lampung",SHM,Lainnya Watt,,500000000,https://www.rumah123.com/properti/bandar-lampung/hos13808177/,Rumah daerah Antasari.
07-06-2023,143,50,2,2,0,1,"Tanjung Karang Timur, Bandar Lampung",SHM,2200,,950000000,https://www.rumah123.com/properti/bandar-lampung/hos13808169/,Hunian Nyaman Dijual Cepat. Listrik 2200 VA. Lantai Granit. One Gate Sistem. Ada Water Heater.
07-06-2023,180,70,3,3,0,1,"Kemiling, Bandar Lampung",SHM,1200,,800000000,https://www.rumah123.com/properti/bandar-lampung/hos13808165/,Rumah 3 Lantai Dijual Murah. Listrik 1200 VA.
07-06-2023,208,216,4,3,0,1,"Rajabasa, Bandar Lampung",SHM,Lainnya Watt,,600000000,https://www.rumah123.com/properti/bandar-lampung/hos13807729/,Rumah Rajabasa Bandar Lampung.
07-06-2023,150,80,3,2,0,1,"Rajabasa, Bandar Lampung",SHM,1300,,595000000,https://www.rumah123.com/properti/bandar-lampung/hos13728145/,RUMAH SIAP HUNI. Hunian Exclusive di Bandar Lampung. Berlokasi di Jl. Flamboyan Raya LABUHAN DALAM. Type 80/150. Harga IDR 595 juta (all in).
06-06-2023,120,120,3,3,0,2,"Ilir Timur li, Palembang",SHM,2200,,1300000000,"Rumah 2 Lantai Bagus di 8 Ilir, Palembang | Rumah123.com","Akses Dekat mall PTC, Bebas banjir, Jalan masuk 2 mobil"
06-06-2023,835,900,5,5,2,6,"Ilir Barat I, Palembang",SHM,4400,Timur,7500000000,Rumah Mewah Di Tengah Kota Setengah Harga | Rumah123.com,Tawaran tak terduga ini akan mengubah impian Anda menjadi kenyataan dengan harga setengah dari yang Anda duga. Mari ikuti petualangan kami untuk menjelajahi keindahan dan keajaiban yang tersembunyi di balik pintu-pintu bergaya klasik ini.
06-06-2023,302,233,4,4,0,2,"Ilir Barat I, Palembang",SHM,3300,,5500000000,Rumah di Jl. Seruni Palembang | Rumah123.com,"Akses gerbang tol palembang, PDAM, Bebas banjir, Jalan masuk 2 mobil"
06-06-2023,110,60,2,1,0,0,"Sako, Palembang",SHM,2200,,650000000,https://www.rumah123.com/properti/palembang/hos13947581/,"Rumah Dijual Palembang HUNIAN MINIMALIS MODERN LOKASI STRATEGIS ,ONE GATE SYSTEM ,SCRUITY 24 JAM ,BEBAS BANJIR, LINGKUNGAN AMAN DAN BEBAS BANJIR, ROW JALAN LUAS"
06-06-2023,150,120,3,2,0,1,"Sako, Palembang",SHM,2200,,1750000000,RUMAH 2 LANTAI | Rumah123.com,"Rumah Dijual Palembang Dijual Rumah 2 lantai, terletak di pinggir jalan, dekat mall PTC"
06-06-2023,135,150,3,2,0,2,"Ilir Timur li, Palembang",SHM,1300,,880000000,Dijual Rumah Siap Huni di Sekojo Indah Residence Palembang | Rumah123.com,"Cari Property dibawah harga pasar ! Cari di INCOME saja, Real Estate Agent terbesar di Palembang dengan pengalaman lebih dari 12 tahun."
